,Member_number,Date,itemDescription
0,1808,21-07-2015,tropical fruit
1,2552,05-01-2015,whole milk
2,2300,19-09-2015,pip fruit
3,1187,12-12-2015,other vegetables
5,4941,14-02-2015,rolls/buns
7,3803,23-12-2015,pot plants
10,1340,24-02-2015,citrus fruit
11,2193,14-04-2015,beef
12,1997,21-07-2015,frankfurter
13,4546,03-09-2015,chicken
14,4736,21-07-2015,butter
15,1959,30-03-2015,fruit/vegetable juice
16,1974,03-05-2015,packaged fruit/vegetables
17,2421,02-09-2015,chocolate
18,1513,03-08-2015,specialty bar
20,2810,08-09-2015,butter milk
24,4976,17-07-2015,bottled water
25,4056,12-06-2015,yogurt
26,3611,13-02-2015,sausage
28,4286,08-03-2015,brown bread
30,4783,22-10-2015,hamburger meat
31,3709,26-10-2015,root vegetables
32,4289,08-10-2015,pork
34,2900,11-04-2015,pastry
36,3527,29-09-2015,canned beer
41,3841,19-07-2015,berries
44,4272,06-06-2015,coffee
47,1697,21-05-2015,misc. beverages
51,2978,05-06-2015,ham
52,2910,28-07-2015,turkey
65,1377,14-03-2015,curd cheese
66,4162,22-12-2015,red/blush wine
73,4875,12-05-2015,frozen potato products
76,4750,21-09-2015,flour
77,1199,10-12-2015,sugar
78,1603,30-09-2015,frozen meals
82,2022,04-03-2015,herbs
88,1202,22-07-2015,soda
93,4389,20-10-2015,detergent
94,3746,17-08-2015,grapes
107,2623,10-10-2015,processed cheese
118,1024,10-08-2015,fish
125,4828,08-08-2015,sparkling wine
131,3564,27-06-2015,newspapers
133,3221,13-01-2015,curd
148,4699,08-02-2015,pasta
155,2184,30-06-2015,popcorn
163,3783,17-06-2015,finished products
164,1923,14-02-2015,beverages
